TimeSinceStart,TrialNo,TrialID,ParticipantID,Layout,Info,CardSeen,CardSelected,CardAnswered
84.10889,1,Training,1,Flat,Prepare,,,
105.3644,1,Training,1,Flat,ShowPattern,,,
105.3867,1,Training,1,Flat,Card,5,,
105.3867,1,Training,1,Flat,Card,30,,
106.3756,1,Training,1,Flat,Card,26,,
106.4311,1,Training,1,Flat,Card,1,,
107.6644,1,Training,1,Flat,Card,23,,
111.5089,1,Training,1,Flat,Card,,23,
113.7645,1,Training,1,Flat,Card,,30,
114.7645,1,Training,1,Flat,Card,,5,
117.5311,1,Training,1,Flat,Card,,26,
118.3089,1,Training,1,Flat,Card,,1,
120.32,1,Training,1,Flat,Distractor,,,
136.7756,1,Training,1,Flat,SelectedCards,,,
139.0756,1,Training,1,Flat,Card,,,5
139.8978,1,Training,1,Flat,Card,,,30
142.2422,1,Training,1,Flat,Card,,,1
142.9089,1,Training,1,Flat,Card,,,26
147.72,1,Training,1,Flat,Card,,,23
149.7978,1,Training,1,Flat,Result,,,
152.4978,2,Training,1,Flat,Prepare,,,
154.42,2,Training,1,Flat,ShowPattern,,,
154.9644,2,Training,1,Flat,Card,4,,
155.8644,2,Training,1,Flat,Card,7,,
156.32,2,Training,1,Flat,Card,21,,
157.3644,2,Training,1,Flat,Card,,7,
158.12,2,Training,1,Flat,Card,14,,
158.2756,2,Training,1,Flat,Card,24,,
158.3644,2,Training,1,Flat,Card,,4,
160.2645,2,Training,1,Flat,Card,,14,
161.4422,2,Training,1,Flat,Card,,24,
165.4756,2,Training,1,Flat,Card,,21,
169.3756,2,Training,1,Flat,Distractor,,,
184.32,2,Training,1,Flat,SelectedCards,,,
186.5978,2,Training,1,Flat,Card,,,4
187.8311,2,Training,1,Flat,Card,,,7
189.3645,2,Training,1,Flat,Card,,,21
192.6533,2,Training,1,Flat,Card,,,14
193.7867,2,Training,1,Flat,Card,,,25
195.4756,2,Training,1,Flat,Result,,,
198.42,2,Training,1,Flat,Prepare,,,
212.1533,2,Training,1,Flat,ShowPattern,,,
212.1867,2,Training,1,Flat,Card,30,,
212.8533,2,Training,1,Flat,Card,7,,
213.5978,2,Training,1,Flat,Card,21,,
213.7867,2,Training,1,Flat,Card,11,,
214.9756,2,Training,1,Flat,Card,,30,
216.02,2,Training,1,Flat,Card,,7,
217.9533,2,Training,1,Flat,Card,,21,
219.0089,2,Training,1,Flat,Card,,11,
220.1533,2,Training,1,Flat,Card,25,,
224.0978,2,Training,1,Flat,Card,,25,
227.12,2,Training,1,Flat,Distractor,,,
242.0645,2,Training,1,Flat,SelectedCards,,,
244.22,2,Training,1,Flat,Card,,,30
245.02,2,Training,1,Flat,Card,,,7
248.0311,2,Training,1,Flat,Card,,,21
249.0422,2,Training,1,Flat,Card,,,11
253.4089,2,Training,1,Flat,Card,,,25
254.6867,2,Training,1,Flat,Result,,,
367.8311,3,1,1,Flat,Prepare,,,
371.22,3,1,1,Flat,ShowPattern,,,
371.2422,3,1,1,Flat,Card,30,,
372.2645,3,1,1,Flat,Card,20,,
373.8533,3,1,1,Flat,Card,,30,
374.5978,3,1,1,Flat,Card,11,,
375.1756,3,1,1,Flat,Card,,20,
377.9756,3,1,1,Flat,Card,,11,
378.7756,3,1,1,Flat,Card,2,,
378.7867,3,1,1,Flat,Card,25,,
382.0533,3,1,1,Flat,Card,,2,
382.9089,3,1,1,Flat,Card,,25,
386.1756,3,1,1,Flat,Distractor,,,
401.12,3,1,1,Flat,SelectedCards,,,
405.5089,3,1,1,Flat,Card,,,30
406.5311,3,1,1,Flat,Card,,,20
408.6645,3,1,1,Flat,Card,,,11
412.7534,3,1,1,Flat,Card,,,2
413.6311,3,1,1,Flat,Card,,,25
417.82,3,1,1,Flat,Result,,,
419.92,4,2,1,Flat,Prepare,,,
424.4756,4,2,1,Flat,ShowPattern,,,
424.4867,4,2,1,Flat,Card,17,,
425.22,4,2,1,Flat,Card,27,,
425.4089,4,2,1,Flat,Card,25,,
426.2422,4,2,1,Flat,Card,7,,
426.7534,4,2,1,Flat,Card,11,,
428.7756,4,2,1,Flat,Card,,17,
429.8644,4,2,1,Flat,Card,,7,
432.5867,4,2,1,Flat,Card,,11,
436.0867,4,2,1,Flat,Card,,27,
437.1756,4,2,1,Flat,Card,,25,
439.4311,4,2,1,Flat,Distractor,,,
444.32,4,2,1,Flat,Bingo,,,
454.5978,4,2,1,Flat,SelectedCards,,,
456.5867,4,2,1,Flat,Card,,,27
457.42,4,2,1,Flat,Card,,,25
460.8311,4,2,1,Flat,Card,,,17
466.1089,4,2,1,Flat,Card,,,7
468.2867,4,2,1,Flat,Card,,,11
469.82,4,2,1,Flat,Result,,,
473.12,5,3,1,Flat,Prepare,,,
476.0533,5,3,1,Flat,ShowPattern,,,
476.0756,5,3,1,Flat,Card,29,,
476.0756,5,3,1,Flat,Card,31,,
477.5311,5,3,1,Flat,Card,14,,
477.6756,5,3,1,Flat,Card,0,,
479.8533,5,3,1,Flat,Card,,29,
481.7756,5,3,1,Flat,Card,,14,
482.7867,5,3,1,Flat,Card,,0,
484.0422,5,3,1,Flat,Card,22,,
486.5867,5,3,1,Flat,Card,,31,
488.4311,5,3,1,Flat,Card,,22,
491.02,5,3,1,Flat,Distractor,,,
496.92,5,3,1,Flat,Bingo,,,
506.4644,5,3,1,Flat,SelectedCards,,,
511.3867,5,3,1,Flat,Card,,,29
513.1644,5,3,1,Flat,Card,,,13
514.0422,5,3,1,Flat,Card,,,0
517.2311,5,3,1,Flat,Card,,,31
518.5867,5,3,1,Flat,Card,,,22
519.92,5,3,1,Flat,Result,,,
523.0645,6,4,1,Flat,Prepare,,,
525.82,6,4,1,Flat,ShowPattern,,,
525.8533,6,4,1,Flat,Card,6,,
528.1533,6,4,1,Flat,Card,,6,
528.6978,6,4,1,Flat,Card,21,,
528.8422,6,4,1,Flat,Card,35,,
531.4645,6,4,1,Flat,Card,,21,
532.6644,6,4,1,Flat,Card,,35,
533.7311,6,4,1,Flat,Card,1,,
533.7422,6,4,1,Flat,Card,26,,
537.2756,6,4,1,Flat,Card,,26,
538.2422,6,4,1,Flat,Card,,1,
540.7867,6,4,1,Flat,Distractor,,,
554.3533,6,4,1,Flat,Bingo,,,
555.7311,6,4,1,Flat,SelectedCards,,,
557.3755,6,4,1,Flat,Card,,,6
559.32,6,4,1,Flat,Card,,,21
560.2422,6,4,1,Flat,Card,,,35
564.0867,6,4,1,Flat,Card,,,26
564.9867,6,4,1,Flat,Card,,,1
566.0422,6,4,1,Flat,Result,,,
568.4645,7,5,1,Flat,Prepare,,,
570.2311,7,5,1,Flat,ShowPattern,,,
570.9089,7,5,1,Flat,Card,7,,
572.0533,7,5,1,Flat,Card,9,,
572.1867,7,5,1,Flat,Card,34,,
573.32,7,5,1,Flat,Card,,7,
574.7867,7,5,1,Flat,Card,,9,
575.8533,7,5,1,Flat,Card,,34,
576.7645,7,5,1,Flat,Card,14,,
576.7978,7,5,1,Flat,Card,12,,
579.6422,7,5,1,Flat,Card,,14,
580.5978,7,5,1,Flat,Card,,12,
585.1867,7,5,1,Flat,Distractor,,,
590.1089,7,5,1,Flat,Bingo,,,
593.7311,7,5,1,Flat,Bingo,,,
600.1311,7,5,1,Flat,SelectedCards,,,
602.5533,7,5,1,Flat,Card,,,6
605.6533,7,5,1,Flat,Card,,,21
606.42,7,5,1,Flat,Card,,,34
610.3978,7,5,1,Flat,Card,,,14
611.5533,7,5,1,Flat,Card,,,12
612.7645,7,5,1,Flat,Result,,,
616.52,8,6,1,Flat,Prepare,,,
618.6311,8,6,1,Flat,ShowPattern,,,
619.1422,8,6,1,Flat,Card,19,,
620.7422,8,6,1,Flat,Card,9,,
620.8644,8,6,1,Flat,Card,34,,
621.5422,8,6,1,Flat,Card,,19,
623.1645,8,6,1,Flat,Card,,9,
624.0422,8,6,1,Flat,Card,,34,
625.0089,8,6,1,Flat,Card,24,,
625.02,8,6,1,Flat,Card,1,,
628.0978,8,6,1,Flat,Card,,1,
628.8867,8,6,1,Flat,Card,,24,
633.5867,8,6,1,Flat,Distractor,,,
638.1422,8,6,1,Flat,Bingo,,,
648.5422,8,6,1,Flat,SelectedCards,,,
650.6645,8,6,1,Flat,Card,,,6
658.4645,8,6,1,Flat,Card,,,9
659.3867,8,6,1,Flat,Card,,,34
663.3533,8,6,1,Flat,Card,,,2
664.2756,8,6,1,Flat,Card,,,25
665.3644,8,6,1,Flat,Result,,,
667.6533,9,7,1,Flat,Prepare,,,
673.3089,9,7,1,Flat,ShowPattern,,,
673.3311,9,7,1,Flat,Card,29,,
674.9978,9,7,1,Flat,Card,15,,
675.7756,9,7,1,Flat,Card,,29,
676.1422,9,7,1,Flat,Card,19,,
676.3533,9,7,1,Flat,Card,35,,
678.6089,9,7,1,Flat,Card,,19,
681.1756,9,7,1,Flat,Card,,35,
682.2978,9,7,1,Flat,Card,1,,
684.5533,9,7,1,Flat,Card,,15,
685.8089,9,7,1,Flat,Card,,1,
688.2756,9,7,1,Flat,Distractor,,,
693.4978,9,7,1,Flat,Bingo,,,
700.0978,9,7,1,Flat,Bingo,,,
706.52,9,7,1,Flat,SelectedCards,,,
709.0533,9,7,1,Flat,Card,,,17
715.92,9,7,1,Flat,Card,,,21
716.4867,9,7,1,Flat,Card,,,34
720.12,9,7,1,Flat,Card,,,2
720.7756,9,7,1,Flat,Card,,,25
722.0867,9,7,1,Flat,Result,,,
728.7422,10,8,1,Flat,Prepare,,,
731.1978,10,8,1,Flat,ShowPattern,,,
731.22,10,8,1,Flat,Card,29,,
733.3311,10,8,1,Flat,Card,,29,
733.9867,10,8,1,Flat,Card,20,,
734.2422,10,8,1,Flat,Card,10,,
736.8644,10,8,1,Flat,Card,,20,
737.72,10,8,1,Flat,Card,,10,
738.4423,10,8,1,Flat,Card,25,,
738.4645,10,8,1,Flat,Card,0,,
741.5311,10,8,1,Flat,Card,,25,
742.2645,10,8,1,Flat,Card,,0,
746.1534,10,8,1,Flat,Distractor,,,
750.4423,10,8,1,Flat,Bingo,,,
754.9534,10,8,1,Flat,Bingo,,,
759.4756,10,8,1,Flat,Bingo,,,
763.5089,10,8,1,Flat,SelectedCards,,,
765.5645,10,8,1,Flat,Card,,,29
768.1422,10,8,1,Flat,Card,,,20
769.3311,10,8,1,Flat,Card,,,10
773.8867,10,8,1,Flat,Card,,,26
774.6089,10,8,1,Flat,Card,,,1
776.4867,10,8,1,Flat,Result,,,
786.0645,11,Training,1,Full Circle,Prepare,,,
1119.218,11,Training,1,Full Circle,Prepare,,,
1122.363,11,Training,1,Full Circle,ShowPattern,,,
1123.752,11,Training,1,Full Circle,Card,12,,
1124.752,11,Training,1,Full Circle,Card,5,,
1126.196,11,Training,1,Full Circle,Card,,5,
1128.118,11,Training,1,Full Circle,Card,,12,
1130.796,11,Training,1,Full Circle,Card,30,,
1131.896,11,Training,1,Full Circle,Card,,30,
1135.507,11,Training,1,Full Circle,Card,34,,
1136.307,11,Training,1,Full Circle,Card,,34,
1136.518,11,Training,1,Full Circle,Card,9,,
1137.252,11,Training,1,Full Circle,Card,,9,
1137.329,11,Training,1,Full Circle,Distractor,,,
1152.274,11,Training,1,Full Circle,SelectedCards,,,
1154.452,11,Training,1,Full Circle,Card,,,12
1156.318,11,Training,1,Full Circle,Card,,,5
1156.963,11,Training,1,Full Circle,Card,,,30
1158.063,11,Training,1,Full Circle,Card,,,33
1158.718,11,Training,1,Full Circle,Card,,,10
1160.163,11,Training,1,Full Circle,Result,,,
1172.129,11,Training,1,Full Circle,Prepare,,,
1173.729,11,Training,1,Full Circle,ShowPattern,,,
1174.507,11,Training,1,Full Circle,Card,25,,
1176.44,11,Training,1,Full Circle,Card,,25,
1176.907,11,Training,1,Full Circle,Card,11,,
1177.585,11,Training,1,Full Circle,Card,,11,
1179.218,11,Training,1,Full Circle,Card,30,,
1180.329,11,Training,1,Full Circle,Card,,30,
1180.585,11,Training,1,Full Circle,Card,7,,
1181.518,11,Training,1,Full Circle,Card,,7,
1182.129,11,Training,1,Full Circle,Card,21,,
1182.718,11,Training,1,Full Circle,Card,,21,
1188.685,11,Training,1,Full Circle,Distractor,,,
1203.641,11,Training,1,Full Circle,SelectedCards,,,
1205.885,11,Training,1,Full Circle,Card,,,24
1207.752,11,Training,1,Full Circle,Card,,,11
1210.463,11,Training,1,Full Circle,Card,,,29
1211.418,11,Training,1,Full Circle,Card,,,7
1212.552,11,Training,1,Full Circle,Card,,,21
1214.163,11,Training,1,Full Circle,Result,,,
1217.696,11,Training,1,Full Circle,Prepare,,,
1245.141,11,Training,1,Full Circle,ShowPattern,,,
1245.163,11,Training,1,Full Circle,Card,22,,
1245.163,11,Training,1,Full Circle,Card,24,,
1245.429,11,Training,1,Full Circle,Card,1,,
1247.807,11,Training,1,Full Circle,Card,,24,
1248.863,11,Training,1,Full Circle,Card,,22,
1250.34,11,Training,1,Full Circle,Card,,1,
1251.274,11,Training,1,Full Circle,Card,28,,
1252.307,11,Training,1,Full Circle,Card,,28,
1253.196,11,Training,1,Full Circle,Card,7,,
1254.652,11,Training,1,Full Circle,Card,,7,
1260.107,11,Training,1,Full Circle,Distractor,,,
1266.785,11,Training,1,Full Circle,Bingo,,,
1275.052,11,Training,1,Full Circle,SelectedCards,,,
1277.252,11,Training,1,Full Circle,Card,,,24
1278.129,11,Training,1,Full Circle,Card,,,22
1292.274,11,Training,1,Full Circle,Card,,,15
1293.196,11,Training,1,Full Circle,Card,,,17
1294.263,11,Training,1,Full Circle,Card,,,18
1295.24,11,Training,1,Full Circle,Result,,,
1401.629,11,Training,1,Full Circle,Prepare,,,
1404.385,11,Training,1,Full Circle,ShowPattern,,,
1404.396,11,Training,1,Full Circle,Card,16,,
1406.552,11,Training,1,Full Circle,Card,13,,
1407.918,11,Training,1,Full Circle,Card,,16,
1408.541,11,Training,1,Full Circle,Card,6,,
1409.685,11,Training,1,Full Circle,Card,,6,
1412.24,11,Training,1,Full Circle,Card,,13,
1412.318,11,Training,1,Full Circle,Card,11,,
1413.207,11,Training,1,Full Circle,Card,,11,
1413.674,11,Training,1,Full Circle,Card,34,,
1414.685,11,Training,1,Full Circle,Card,,34,
1419.34,11,Training,1,Full Circle,Distractor,,,
1430.218,11,Training,1,Full Circle,Bingo,,,
1434.285,11,Training,1,Full Circle,SelectedCards,,,
1436.629,11,Training,1,Full Circle,Card,,,16
1437.607,11,Training,1,Full Circle,Card,,,6
1440.229,11,Training,1,Full Circle,Card,,,13
1441.163,11,Training,1,Full Circle,Card,,,11
1441.963,11,Training,1,Full Circle,Card,,,34
1443.529,11,Training,1,Full Circle,Result,,,
1445.629,12,Training,1,Full Circle,Prepare,,,
1448.052,12,Training,1,Full Circle,ShowPattern,,,
1448.063,12,Training,1,Full Circle,Card,26,,
1449.685,12,Training,1,Full Circle,Card,1,,
1450.474,12,Training,1,Full Circle,Card,,26,
1451.641,12,Training,1,Full Circle,Card,,1,
1452.541,12,Training,1,Full Circle,Card,22,,
1453.874,12,Training,1,Full Circle,Card,,22,
1455.585,12,Training,1,Full Circle,Card,17,,
1457.852,12,Training,1,Full Circle,Card,,17,
1459.107,12,Training,1,Full Circle,Card,32,,
1460.029,12,Training,1,Full Circle,Card,,32,
1463.007,12,Training,1,Full Circle,Distractor,,,
1469.196,12,Training,1,Full Circle,Bingo,,,
1477.963,12,Training,1,Full Circle,SelectedCards,,,
1479.541,12,Training,1,Full Circle,Card,,,25
1480.196,12,Training,1,Full Circle,Card,,,23
1482.829,12,Training,1,Full Circle,Card,,,21
1484.963,12,Training,1,Full Circle,Card,,,28
1559.563,12,Training,1,Full Circle,Card,,,31
1564.807,12,Training,1,Full Circle,Result,,,
1568.652,12,Training,1,Full Circle,Prepare,,,
1569.652,12,Training,1,Full Circle,ShowPattern,,,
